Event,Network,Station,Channel,Label
2016125_013406,KG,CHS,HG_36,36.93
2016125_013406,KG,CHS,HH_36,36.93
2016125_013406,KG,DKJ,EL_60,60.39
2016125_013406,KG,DKJ,HG_60,60.39
2016125_013406,KG,GKP1,HG_64,64.87
2016125_013406,KG,GKP1,HH_64,64.87
2016125_013406,KG,MGB,HG_59,59.69
2016125_013406,KG,MGB,HH_59,59.69
2016125_013406,KG,SND,HG_79,79.33
2016125_013406,KG,SND,HH_79,79.33
2016125_013406,KS,ADO2,EL_10,10.77
2016125_013406,KS,ADO2,HG_10,10.77
2016125_013406,KS,ADOA,HG_18,18.71
2016125_013406,KS,CHY,HG_55,55.96
2016125_013406,KS,CHYB,HG_55,55.98
2016125_013406,KS,CHYB,HH_55,55.98
2016125_013406,KS,CIG,HG_60,60.6
2016125_013406,KS,CSO,HG_22,22.63
2016125_013406,KS,DAG2,HG_75,75.12
2016125_013406,KS,DAG2,HH_75,75.12
2016125_013406,KS,DAU,HG_64,64.9
2016125_013406,KS,EUS,HG_16,16.33
2016125_013406,KS,EUSB,HG_16,16.33
2016125_013406,KS,EUSB,HH_16,16.33
2016125_013406,KS,GIC,HG_77,77.25
2016125_013406,KS,GUM,HG_54,54.13
2016125_013406,KS,MGY,EL_73,73.2
2016125_013406,KS,MGY,HG_73,73.2
2016125_013406,KS,PHA2,EL_55,55.56
2016125_013406,KS,PHA2,HG_55,55.56
2016125_013406,KS,SAJ,HG_60,60.89
2016125_013406,KS,TBA,EL_76,76.08
2016125_013406,KS,TBA,HG_76,76.08
2016125_013406,KS,UJN,HG_79,79.8
2016125_013406,KS,ULJ2,HG_58,58.78
2016125_013406,KS,ULJ2,HH_58,58.78
2016125_013406,KS,YCH,HG_42,42.08
2016125_013406,KS,YOC,HG_52,52.78
2016125_013406,KS,YOCB,HG_52,52.79
2016125_013406,KS,YOCB,HH_52,52.79
2016125_013406,KS,YOD,HG_52,52.39
2016125_013406,KS,YODB,HG_52,52.41
